,Unnamed: 0,Sentence #,Word,POS,Tag
0,0,Sentence: 1,Антивирусная,ADJ,O
1,1,Sentence: 1,программа,NOUN,O
2,2,Sentence: 1,–,PUNCT,O
3,3,Sentence: 1,программа,NOUN,O
4,4,Sentence: 1,",",PUNCT,O
5,5,Sentence: 1,предназначенная,VERB,O
6,6,Sentence: 1,для,ADP,O
7,7,Sentence: 1,борьбы,NOUN,O
8,8,Sentence: 1,с,ADP,O
9,9,Sentence: 1,компьютерными,ADJ,O
10,10,Sentence: 1,вирусами,NOUN,O
11,11,Sentence: 1,.,PUNCT,O
12,12,Sentence: 2,Антивирусные,ADP,O
13,13,Sentence: 2,блокировщики,DET,O
14,14,Sentence: 2,могут,NOUN,O
15,15,Sentence: 2,входить,DET,O
16,16,Sentence: 2,в,NOUN,O
17,17,Sentence: 2,BIOS,VERB,O
18,18,Sentence: 2,Setup,ADJ,O
19,19,Sentence: 2,Антивирус,NOUN,O
20,20,Sentence: 2,Касперского,ADP,O
21,21,Sentence: 2,Антивирус,NOUN,O
22,22,Sentence: 2,Касперского,CCONJ,O
23,23,Sentence: 2,давно,NOUN,O
24,24,Sentence: 2,завоевал,VERB,O
25,25,Sentence: 2,популярность,NOUN,O
26,26,Sentence: 2,у,PUNCT,O
27,27,Sentence: 3,миллионов,ADP,O
28,28,Sentence: 3,пользователей,ADJ,O
29,29,Sentence: 3,благодаря,NOUN,O
30,30,Sentence: 3,своей,ADP,O
31,31,Sentence: 3,эффективности,PROPN,O
32,32,Sentence: 3,и,DET,O
33,33,Sentence: 3,быстроте,NOUN,O
34,34,Sentence: 3,реакции,ADJ,O
35,35,Sentence: 3,на,VERB,O
36,36,Sentence: 3,различные,ADP,O
37,37,Sentence: 3,угрозы,NOUN,O
38,38,Sentence: 3,.,NOUN,O
39,39,Sentence: 3,Несмотря,PUNCT,O
40,40,Sentence: 4,на,SCONJ,O
41,41,Sentence: 4,все,ADJ,O
42,42,Sentence: 4,свои,NOUN,O
43,43,Sentence: 4,преимущества,VERB,O
44,44,Sentence: 4,",",NOUN,O
45,45,Sentence: 4,до,ADP,O
46,46,Sentence: 4,сих,NOUN,O
47,47,Sentence: 4,пор,PUNCT,O
48,48,Sentence: 4,многие,SCONJ,O
49,49,Sentence: 4,не,PRON,O
50,50,Sentence: 4,знающие,VERB,O
51,51,Sentence: 4,товарищи,ADP,O
52,52,Sentence: 4,критикуют,PRON,O
53,53,Sentence: 4,его,ADJ,O
54,54,Sentence: 4,за,NOUN,O
55,55,Sentence: 4,то,NOUN,O
56,56,Sentence: 4,",",PUNCT,O
57,57,Sentence: 5,что,SCONJ,O
58,58,Sentence: 5,он,NOUN,O
59,59,Sentence: 5,якобы,ADJ,O
60,60,Sentence: 5,очень,PUNCT,O
61,61,Sentence: 5,сильно,SCONJ,O
62,62,Sentence: 5,нагружает,VERB,O
63,63,Sentence: 5,систему,NOUN,O
64,64,Sentence: 5,.,VERB,O
65,65,Sentence: 5,Так,ADV,O
66,66,Sentence: 5,было,PUNCT,O
67,67,Sentence: 6,в,VERB,O
68,68,Sentence: 6,недалёких,ADJ,O
69,69,Sentence: 6,2003-2004,NOUN,O
70,70,Sentence: 6,годах,ADJ,O
71,71,Sentence: 6,",",NOUN,O
72,72,Sentence: 6,тогда,PUNCT,O
73,73,Sentence: 6,многие,NOUN,O
74,74,Sentence: 6,антивирусные,PUNCT,O
75,75,Sentence: 6,продукты,NOUN,O
76,76,Sentence: 6,не,PUNCT,O
77,77,Sentence: 6,особо,NOUN,O
78,78,Sentence: 6,выделялись,PUNCT,O
79,79,Sentence: 6,«,NOUN,O
80,80,Sentence: 6,лёгкостью,PUNCT,O
81,81,Sentence: 6,»,NOUN,O
82,82,Sentence: 6,.,CCONJ,O
83,83,Sentence: 6,Теперь,NOUN,O
84,84,Sentence: 6,совсем,PUNCT,O
85,85,Sentence: 6,другие,NOUN,O
86,86,Sentence: 6,времена,ADJ,O
87,87,Sentence: 6,и,NOUN,O
88,88,Sentence: 6,одним,PUNCT,O
89,89,Sentence: 6,из,ADJ,O
90,90,Sentence: 6,главных,NOUN,O
91,91,Sentence: 6,требований,PUNCT,O
92,92,Sentence: 6,к,ADP,O
93,93,Sentence: 6,современным,NOUN,O
94,94,Sentence: 6,антивирусам,VERB,O
95,95,Sentence: 6,является,NOUN,O
96,96,Sentence: 6,небольшое,CCONJ,O
97,97,Sentence: 6,потребление,ADJ,O
98,98,Sentence: 6,ресурсов,NOUN,O
99,99,Sentence: 6,компьютера,CCONJ,O
100,100,Sentence: 6,",",VERB,O
101,101,Sentence: 6,хотя,NOUN,O
102,102,Sentence: 6,стоит,VERB,O
103,103,Sentence: 6,заметить,NOUN,O
104,104,Sentence: 6,",",ADJ,O
105,105,Sentence: 6,что,NOUN,O
106,106,Sentence: 6,если,PUNCT,O
107,107,Sentence: 6,дать,NOUN,O
108,108,Sentence: 6,команду,PUNCT,O
109,109,Sentence: 6,на,PUNCT,O
110,110,Sentence: 6,полное,ADV,O
111,111,Sentence: 6,и,VERB,O
112,112,Sentence: 6,глубокое,ADP,O
113,113,Sentence: 6,сканирование,PROPN,O
114,114,Sentence: 6,",",CCONJ,O
115,115,Sentence: 6,то,VERB,O
116,116,Sentence: 6,для,NOUN,O
117,117,Sentence: 6,этого,NOUN,O
118,118,Sentence: 6,будет,ADP,O
119,119,Sentence: 6,задействованы,NOUN,O
120,120,Sentence: 6,все,PRON,O
121,121,Sentence: 6,средства,NOUN,O
122,122,Sentence: 6,",",ADP,O
123,123,Sentence: 6,зато,PROPN,O
124,124,Sentence: 6,в,PROPN,O
125,125,Sentence: 6,других,PUNCT,O
126,126,Sentence: 6,случаях,ADJ,O
127,127,Sentence: 6,система,ADJ,O
128,128,Sentence: 6,остаётся,CCONJ,O
129,129,Sentence: 6,почти,ADJ,O
130,130,Sentence: 6,незатронутой,ADJ,O
131,131,Sentence: 6,.,NOUN,O
132,132,Sentence: 6,Последними,PUNCT,O
133,133,Sentence: 7,версиями,VERB,O
134,134,Sentence: 7,являются,NOUN,O
135,135,Sentence: 7,антивирус,PUNCT,O
136,136,Sentence: 7,Касперского,NOUN,O
137,137,Sentence: 7,2010,NOUN,O
138,138,Sentence: 7,",",NOUN,O
139,139,Sentence: 7,комплексная,CCONJ,O
140,140,Sentence: 7,защита,PROPN,O
141,141,Sentence: 7,Kaspersky,ADP,O
142,142,Sentence: 7,Internet,NOUN,O
143,143,Sentence: 7,Security,ADJ,O
144,144,Sentence: 7,2010,CCONJ,O
145,145,Sentence: 7,и,ADJ,O
146,146,Sentence: 7,Kaspersky,NOUN,O
147,147,Sentence: 7,CRYSTAL,PUNCT,O
148,148,Sentence: 8,.,VERB,O
149,149,Sentence: 8,Антивирус,NUM,O
150,150,Sentence: 8,Касперского,NOUN,O
151,151,Sentence: 8,2010,PUNCT,O
152,152,Sentence: 8,обладает,VERB,O
153,153,Sentence: 8,всеми,PART,O
154,154,Sentence: 8,основными,ADV,O
155,155,Sentence: 8,функциями,PROPN,O
156,156,Sentence: 8,защиты,PUNCT,O
157,157,Sentence: 8,",",VERB,O
158,158,Sentence: 8,вот,NOUN,O
159,159,Sentence: 8,некоторые,NOUN,O
160,160,Sentence: 8,из,NOUN,O
161,161,Sentence: 8,них,PUNCT,O
